top,bookname,click,info,label,type
75,神灵穿越记,20533,"是什么原因让他和麒麟影风成为敌人而他却不知道自己是重明鸟的后裔
为什么他和麒麟被穿越到未来的世界
神灵界以五个境界分.由白色，蓝色，黄色，绿色，紫色。而一个境界由初基期，中基期，顶级基期进阶下一个境界。

神灵穿越记是作者""mr威严""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
76,异世邪神之玄神至尊,20456,"痛！ 痛！痛！揪心的痛从身体的各个部位传进脑海，墨宇死死的攥住双拳，手上青筋凸起，仿佛在诉说着那撕心裂肺的痛。 墨宇猛然惊起，我，我还活着？逃！逃！得赶紧逃！墨宇马上挣扎着起身…… 一人，一珠，一剑，一天下。 阻我者，杀！挡我者，亦杀！
异世邪神之玄神至尊是作者""小虫""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,铁血,争霸,YY",玄幻
77,刀客行,20305,"刀客就应该硬汉，刀客就应该霸气，刀客就应该柔情。霸道刀客强势归来，踏星君，踩神王，且看逆天刀客如何纵横星空，笑傲十方。比赛需要投票，希望大家能投我一票，共创刀客神话。http://hudong.hengyan.com/dasai1/detail.aspx?id=4228
刀客行是作者""天殇月""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
78,异界战神,19222,"潼音自出生起就被命运牵绊，家园的神奇消失，穿越几千年的复仇，扑朔迷离的朋友关系，远古神兽的复苏。他一直在寻找自己的命运，可是接踵而来的却是一个让他难以接受的更大的迷……
异界战神是作者""海马荏苒""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
79,唯武独尊,18731,"一个山脉深处的世家，一位励志成为强者的废柴。
一座雷光下显现的七彩宝塔，一部演化万物的绝世功法。
适逢乱世，群雄四起，家族内忧外患。
看废柴少爷如何逆袭，看大陆诸雄谁主浮沉！！！
唯武独尊是作者""石头蛋蛋""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
80,苍穹战神,18645,"这是一个名为“天戟”的大陆，这是一个实力为尊的大陆。这里存在很多的种族，当然人类依然是主宰。我们的主角出身平凡。请看他将如何登上实力的巅峰，如何横扫苍穹。
苍穹战神是作者""只是因为你""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","争霸,YY,朝堂,阵法,斗智,浪漫",玄幻
81,无神时代,18462,"我从此没有了亲人，没有了我所拥有的一切！我要成为强者，我要找到我要找的答案。父亲母亲如今你们在何方，孩儿好想你们？你们还活着吗？我要找到你们，找到我所失去的一切，我要变强！我要变强！我要变强！
无神时代是作者""轮回亿万年""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
82,神寂之宿命,17820,"梦想，因人而异。一代天骄因决斗而穿越，同样的梦想，同样的希望。让和平垂手可得，让民众幸福安康……人的一生，可以平平淡淡，也可以惊天动地，但是，人的尊严是不可以践踏的，只有真正会维护尊严的人，才可以走上强者的道路，拯救苍生。。。。
神寂之宿命是作者""传奇苇草""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,羽韵尘,邀请驻站",玄幻
83,太古血族,16951,"终有一日
他驻足插刀
放眼四顾
却已茫茫不见敌手……
太古血族是作者""霸占""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
84,决天幻世,16601,"离奇的身世，操控的命运 。手握至灵，脚踏星辰，只为命运由我掌控！幻世之道，双者对奕，你是棋子，我是棋子，可也要做一枚不平凡的“棋子”
问决、至灵、极寒、落影、星邃、道魔、苍世、赤炎、墨影、划空，十大神剑，誓决高低！风卷残云，苦修灵术，凝神谛视，只为在修成神！！！
决天幻世是作者""愤怒的萝卜心""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
85,魔影,14956,"远古的奇幻大陆，以脉术为无上之法。一直流传着一句“不成脉者，皆为蝼蚁！”
而他，以一手，一宠，一巨剑！破常道，成就不朽神话！
为亲人，他宁弃功名！
为兄弟，他宁战到底！
为知己，他宁负天下人！
风云游，魔影现，血债就要血还！！
魔影是作者""曙少""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
86,绝世圣尊,14861,"收剑片，炼天青，摆脱青天束缚，独入古混沌……
被误认为废柴的少年齐云，不仅拥有百年难遇的修炼资质，更有始终不懈的坚持努力。而他还有勇往直前，不惧生死的逆天之意。在这个以强者为尊的世界，他注定是一位强者。
一位顶天立地，独傲九天的尊者。
绝世圣尊是作者""毅力王者小雨""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","暧昧,纨绔,热血,奇遇",玄幻
87,混沌修仙记,13112,"因为一次意外，被邪魔入侵，在宋半仙的帮助下，不仅保住了性命，还得到了高人的传承。再一次外出时，被人屠村，为了报仇将其灭绝，但是却被其背后之人发现，开始了逃亡之旅，在一次次的遭遇战中，发誓将这些人尽数毁灭。却不想，陷入了更深的泥潭之中。
混沌修仙记是作者""雪地中的小火苗""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","奇遇,热血,争霸,神兽,阵法",玄幻
88,异世战神,11538,"伟大的诸神之王啊，
请赐予我们您无穷无尽的神力吧。
——禁·诸神觉醒之黄昏的乐章
异世战神是作者""妹妹我爱你""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
89,东尘西界,10449,"人生苦本虚如梦，——踏破红尘轮回转。
遥望苍天长空破，——渺渺红尘藏仙灵。
极度世界命脉转，——儿女情长共相随。
笑看生死长相忆，——绵绵终归既浮云。
东尘西界是作者""最终浮尘""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
90,大轮回路,8801,"林潇在结婚当天，一场意外的车祸让他重生到名叫地仙大陆的世界，这个世界强者如林，其面积亦不知比地球宽广多少，一次次的奇遇，一次次的对强者之路的渴望，林潇却发现了仙界不过是一个惊天的骗局，看他如何解开这惊世之局，找到回家的路……
大轮回路是作者""可乐加冰""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,杀手,奇遇,传统,斗智",玄幻
91,天麒传说,8657,"一轮圆月，悬挂夜空，照射着无边大地；
一座邸府，辉耀华光，散发出万丈光芒；
一道身影，傲视同州，震撼着四海八荒；
一声哭泣，九转回肠，彻响在大陆苍穹。
天麒传说是作者""冷月清风""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","世家,奇遇,斗气,激情,神兽,爽文",玄幻
92,NBA野史,8436,"这里是NBA的平行世界，在这里没有篮球，但你能寻找到一切跟篮球有关的人和事。那些已经尘封了的名字再次苏醒，没落的豪门重新复苏。来吧，让我们再战联盟！
NBA野史是作者""零秒绝杀""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","召唤,后宫,纨绔,争霸,热血,NBA",玄幻
93,神秘狂人,6826,"一生修炼数百年， 最终成仙帝、等来的却是魔帝这种帝级高手的对战，与厮杀。
神秘狂人是作者""神秘狂人""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
94,破天,5888,"剑，则刚。宁断不弯。这里有千奇百怪的剑术，有无数凌于凡人之上的强者，有无数绝顶的天才。
剑者的世界里永远只能用实力开说话，剑之极致，一剑破天！！！
一个人，一把剑，一壶酒。看他如何斩尽强敌，践踏天才的尸体一步步直指剑道神坛！！！
万剑归宗我自刚，一剑破天我为尊！！！
破天是作者""血月""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
95,狂暴天尊,2434,"至尊大陆，九大至尊家族凌驾一切。但不知为何，有一天同为九大至尊家族的夏族所在的至尊领域空间突然崩毁，除族中老祖以大法力卷走部分族中优秀子弟与掌事人外，其余人都被时空乱流泯灭......
此事一经传出，其余八大家族和各大势力纷纷派人前去查看，但夏族逃出来的人却神秘失踪了......
疑点重重，但九大至尊家族本来就不是铁板一块，夏族的至尊空间为何会崩毁？
夏族逃...
狂暴天尊是作者""上帝也疯狂""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
1,假婚真爱，总裁的心尖宠妻,14454231,"未婚夫和堂姐酒店偷情，她忍着愤怒躲进床底。
岂料，自称是堂姐男友的男人也在。
床上狗男女激烈缠绵，床下他搂着她在她耳边低声戏谑，“你未婚夫睡了我女友，你说我要不要把你睡回来？”
一纸婚书把两人绑在一起，她需要钱，他需要为期两年的婚姻。
他却把她爱入心，疼入骨，宠上云端，谁都知道秦初夏这个女人不能惹，那怕是一丝一毫。
假婚真爱，总裁的心尖宠妻是作者""杨四儿""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","斗智,契约,总裁,同居,虐恋",言情
2,重生嫡女：指腹为婚,8670355,"上一世，她是不谙世事的学士府嫡女，轻信她人；
落得被姐妹陷害，相公背叛，众人欺辱！
最后和自己的骨肉被沉塘而死……
这一世，卷土重来，将一切汹涌暗潮尽收眼底。
将一切异己，一网打尽，将一切恩仇，一次算清！
弃渣男，觅良婿，许自己一世情深……
重生嫡女：指腹为婚是作者""夕枫""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",重生,言情
3,亿万首席：萌宝蛮妻强势来袭,1965844,"没有梦想的人跟咸鱼有什么差别。
陆熙柔有个梦想，在她情窦初开的十六岁时，就立下誓言——这辈子一定要嫁给顾明远！
所以，在他订婚的当晚，陆熙柔决定，把他睡了！
亿万首席：萌宝蛮妻强势来袭是作者""落姐""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","豪门,冤家,暧昧",言情
4,一吻成瘾：BOSS的神秘妻,20843591,"她为搪塞老妈只得被迫相亲，结果第一次见面就被霸道酷少拉去民政局办理结婚登记。
他对她百般呵护，疼惜万分，她以为真的找到了幸福，把自己的初吻，初恋，甚至第一次都给了他。
然而，换来的却是一场精心策划的骗局，他与她的婚姻，只是为了让他登上总裁宝座？
当繁华风景看透，他与她是否还能细水长流？
一吻成瘾：BOSS的神秘妻是作者""楚韵儿""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","总裁,婆媳,萌系可爱,虐恋,暧昧",言情
5,暗恋已成歌,805046,"一段从青春时代开始却阴差阳错错过的爱情，当时光荏苒
两人重逢，爱情是否可以继续，故事后来……
暗恋已成歌是作者""怡慕""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,言情
6,冷情王爷小萌妃,4010723,"沈君瑶，一个21世纪的乖乖女无意中穿越到了樊国85年，面对陌生的一切无奈之下只好给人家当丫鬟。秦圣杰，樊国出了名的冷王爷，却因为这个小丫鬟让他的世界发生了天翻地覆的变化。渐渐的两人被对方吸引也在不知不觉中相爱了，本文有三分搞笑三分宠溺三分感人再加上一分纯洁然后就有了一个十分完美的结局！
冷情王爷小萌妃是作者""怀菱""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,言情
7,王爷小心，妃要爬墙,981646,"一招穿越，占了凤倾颜的身体，沈倾颜体会她的错爱悲哀。
霸气休夫，敢爱敢恨，在波云诡异的朝堂之外沉浮，她如何躲避层层算计？尔虞我诈，算计四起，美人心计，何以畏惧！
有人说她是乱世红颜，倾国祸水，她依然风声水起。
最终，惊鸿一瞥，觅得如玉出尘的他，甘愿为之画地为牢，倾尽所有。
问世间情为何物，那是一物降一物！
王爷小心，妃要爬墙是作者""臣妾依依""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","穿越,腹黑,帝王",言情
8,首席冷少：独宠正牌千金,200813,"她本是豪门千金，却因一场恩怨而被抛弃。恢复身份，却发现那个家已经有一个代替她的人。
他是集团总裁，却时时被身边人算计。一场阴谋她救了险些坠海而亡的他，他为报恩处处护她。父母不宠，哥哥不爱，那他来宠，他来爱。
首席冷少：独宠正牌千金是作者""红色的阿狸""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","暧昧,青春,豪门,萌系可爱",言情
9,婚婚欲睡，总裁老公太心急,2212904,"新娘逃婚她顶着小三转正的恶名嫁入豪门，成了陆少奶奶。
怀孕两月，他扔给她一纸离婚协议无情离开。
在见她已是金光闪闪大明星，追求者围绕一大堆。
看着帅气的小奶包他邪魅一笑：“嗨，你儿子跟我长得很像！”
“姓陆的，我们已经离婚了！”小女人忍无可忍朝他吼。
步步朝她逼近，他在她耳边低喃：“新欢只是欢，前夫才是爱。”
婚婚欲睡，总裁老公太心急是作者""杨四儿""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","明星,冤家,暧昧,总裁,同居",言情
10,宫廷风云外传,1091632,"她一个都市白领，一个为生活奔波的人，再一次登山旅行中意外跌落山崖。
当她再次醒来时发现自己已在一个陌生的环境里。
她该怎么办？她又能真么办？？她的命运又该如何......
宫廷风云外传是作者""蒸发的水""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,言情
11,邪王萌宠：天才神妃难驯服,557535,"她，国际第一间谍，却痴迷古剑。一次穿越成了明神国的三公主。斗太子坑皇上，打王爷欺魔君。时而装逼卖萌，时而霸气侧漏。
他，舜祁大陆的最强者，翻手为云覆手为雨，却独独对她情有独钟，溺爱成瘾。
他，魔域大陆的统治者，嗜血狠戾，誓言一统天下，却甘为她粉身碎骨。
他，一国皇帝，心怀天下，却为她倾尽所有，誓言非卿不娶。
穿越逗比无极限，却引无数英雄尽折腰！
邪王萌宠：天才神妃难驯服是作者""六月小雪""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","争霸,神兽,斗智,穿越,帝王",言情
12,凤临天下：独宠傲妃,1998006,"本以为穿越为公主，从此过上富贵的日子，偶尔玩玩宫斗什么的。
岂料在她六岁时，养父皇帝被害，母妃失踪，太子中蛊，奸妃篡位……
大庆王朝，岂容奸人祸害？
有骷髅师父教的一身本事，她必须帮大皇兄夺回王位！
誓要除了他的蛊，夺回他的国，还他一个盛世王朝！
“大皇兄，你我非亲身兄妹……待你赢得天下，娶了人家可好？”
凤临天下：独宠傲妃是作者""懒虫盼巅峰""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","穿越,帝王,宫斗",言情
13,穿来妃货：妖孽王爷霸上弓,490685,"素有吃货享誉全校的某女，为陪室友参加学长见面会，不幸遭遇史上最强龙卷风，狂风怒号穿到那鸟不拉屎、鸡不生蛋无历史朝代——西凉国。荒唐醒来竟吊在一棵树上，白绫伺候。被婢女解救知其身份后，竟知大婚在即，还是替她人代罪嫁人。作为21世纪的女性，三十六计，走为上计，可谁知强中更有强中手，出逃未遂，某妖孽男邪恶的道：“爱妃，该回府拜堂了！”某女眼不睁心不跳的道：“爷，待我长发极腰，尝遍天下美食，再拜堂吧！...
穿来妃货：妖孽王爷霸上弓是作者""玛瑙石""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,言情
14,枕上宠婚，总裁前妻很抢手,744398,"他是权势滔天，富可敌国的白家二公子；她是无人问津的落魄千金，一场利益的婚姻将二人连在一起。
他霸道，果决，却唯独对她另眼相待。
就在她决定接受他时，他却说：“我们离婚吧！”
“好。”仅仅一个字，却让她痛彻心扉。
当真相揭开，面对他的深情，她又该何去何从……

枕上宠婚，总裁前妻很抢手是作者""怡香""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,言情
15,总裁老公吻上瘾,3629983,"他是神秘而低调的商业奇才，她是默默无闻的职场菜鸟。
面对闺蜜背弃、父母欺骗，她含泪走向红地毯，嫁给陌生人。
然而他却意外出现，扔下一句‘你要嫁的人应该是我’，牵着她的手冲出了礼堂。
一场甜蜜婚姻，是相夫教子守望一生，还是陌路两行各行其道？
爱情总是在相互折磨中慢慢滋生，无踪迹，无法寻觅。
一但爱上，便无法回头。
总裁老公吻上瘾是作者""梦依旧""倾力创作的言情小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025 网络文化经营许可证：桂网文[2018]1334-010
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","暧昧,腹黑,总裁,豪门,萌系可爱",言情
